,Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
0,Dario Saric,PHX,26,6-10,225,None,Croatia,2014,1,12,66,10.7,6.2,1.9,-1.2,6.0%,18.6%,17.4%,59.2%,10.5%
1,Darius Bazley,OKC,20,6-8,208,None,USA,2019,1,23,61,5.6,4.0,0.7,-3.2,2.5%,17.2%,14.6%,49.7%,5.4%
2,Darius Garland,CLE,20,6-1,192,Vanderbilt,USA,2019,1,5,59,12.3,1.9,3.9,-8.7,1.4%,4.6%,20.1%,49.8%,18.2%
3,Daryl Macon,MIA,24,6-2,185,Arkansas,USA,2018,,,4,0.8,0.0,0.3,7.6,0.0%,0.0%,16.7%,50.0%,14.3%
4,David Nwaba,HOU,27,6-5,219,Cal Poly,USA,Undrafted,Undrafted,Undrafted,20,5.2,2.3,0.4,7.2,2.7%,10.9%,13.9%,62.7%,4.6%
5,Davis Bertans,WAS,27,6-10,225,None,Latvia,2011,2,42,54,15.4,4.5,1.7,-0.3,2.1%,13.0%,18.3%,62.8%,8.1%
6,De'Aaron Fox,SAC,22,6-3,185,Kentucky,USA,2017,1,5,51,21.1,3.8,6.8,-4.0,2.1%,9.9%,29.0%,55.8%,33.6%
7,De'Andre Hunter,ATL,22,6-7,225,Virginia,USA,2019,1,4,63,12.3,4.5,1.8,-5.5,2.1%,11.6%,17.3%,52.1%,7.9%
8,De'Anthony Melton,MEM,22,6-2,200,Southern California,USA,2018,2,46,60,7.6,3.7,2.9,5.1,3.5%,13.7%,18.5%,50.1%,19.6%
9,DeAndre Jordan,BKN,31,6-11,265,Texas A&M,USA,2008,2,35,56,8.3,10.0,1.9,-1.8,10.5%,29.3%,13.6%,68.2%,13.2%
10,DeAndre' Bembry,ATL,25,6-5,210,St. Joseph's (PA),USA,2016,1,21,43,5.8,3.5,1.9,-11.8,3.4%,12.3%,13.7%,50.0%,13.0%
11,DeMar DeRozan,SAS,30,6-6,220,Southern California,USA,2009,1,9,68,22.1,5.5,5.6,-1.8,1.9%,13.9%,26.2%,60.3%,26.1%
12,DeMarre Carroll,HOU,33,6-6,215,Missouri,USA,2009,1,27,24,3.6,2.3,1.0,0.0,4.2%,13.8%,14.8%,51.5%,11.6%
13,Dean Wade,CLE,23,6-9,228,Kansas State,USA,Undrafted,Undrafted,Undrafted,12,1.7,1.6,0.2,-6.5,3.8%,21.3%,9.1%,74.4%,3.9%
14,Deandre Ayton,PHX,21,6-11,250,Arizona,Bahamas,2018,1,1,38,18.2,11.5,1.9,4.0,12.0%,22.5%,23.1%,56.8%,9.1%
15,Dejounte Murray,SAS,23,6-4,180,Washington,USA,2016,1,29,66,10.9,5.8,4.1,-4.2,4.0%,18.4%,20.7%,52.4%,23.2%
16,Delon Wright,DAL,28,6-5,185,Utah,USA,2015,1,20,73,6.9,3.8,3.3,1.7,4.0%,12.4%,14.0%,55.4%,21.5%
17,Dennis Schroder,OKC,26,6-1,172,None,Germany,2013,1,17,65,18.9,3.6,4.0,5.5,1.0%,9.9%,26.2%,57.5%,22.2%
18,Dennis Smith Jr.,NYK,22,6-2,205,North Carolina State,USA,2017,1,9,34,5.5,2.3,2.9,-17.1,3.4%,10.2%,22.3%,39.9%,29.7%
19,Denzel Valentine,CHI,26,6-4,220,Michigan State,USA,2016,1,14,36,6.8,2.1,1.2,-5.0,1.6%,13.8%,22.9%,51.1%,14.7%
20,Deonte Burton,OKC,26,6-4,240,Iowa State,USA,Undrafted,Undrafted,Undrafted,39,2.7,1.5,0.4,-12.7,1.7%,11.9%,17.3%,39.6%,7.6%
21,Derrick Favors,NOP,28,6-9,265,Georgia Tech,USA,2010,1,3,51,9.0,9.8,1.6,4.2,12.1%,24.9%,13.5%,62.0%,8.7%
22,Derrick Jones Jr.,MIA,23,6-6,210,UNLV,USA,Undrafted,Undrafted,Undrafted,59,8.5,3.9,1.1,-0.5,4.9%,11.5%,13.5%,62.0%,6.8%
23,Derrick Rose,DET,31,6-2,200,Memphis,USA,2008,1,1,50,18.1,2.4,5.6,-3.4,2.1%,7.1%,30.3%,55.5%,37.3%
24,Derrick Walton Jr.,DET,25,6-0,185,Michigan,USA,Undrafted,Undrafted,Undrafted,26,2.0,0.6,1.0,-0.9,0.7%,5.4%,7.9%,61.7%,15.5%
25,Derrick White,SAS,25,6-4,190,Colorado,USA,2017,1,29,68,11.3,3.3,3.5,1.0,2.0%,10.5%,18.3%,59.3%,20.3%
26,Devin Booker,PHX,23,6-5,206,Kentucky,USA,2015,1,13,70,26.6,4.2,6.5,2.7,1.2%,10.6%,29.4%,61.8%,28.8%
27,Devon Hall,OKC,24,6-5,215,Virginia,USA,2018,2,53,11,1.8,0.6,1.2,3.8,1.9%,6.0%,18.2%,29.8%,21.7%
28,Devontae Cacok,LAL,23,6-8,240,North Carolina-Wilmington,USA,Undrafted,Undrafted,Undrafted,1,6.0,5.0,1.0,22.7,16.7%,33.3%,22.2%,50.0%,12.5%
29,Devonte' Graham,CHA,25,6-1,195,Kansas,USA,2018,2,34,63,18.2,3.4,7.5,-4.5,1.8%,7.8%,24.3%,53.7%,34.5%
30,Dewan Hernandez,TOR,23,6-10,235,Miami,USA,2019,2,59,6,2.3,2.3,0.5,17.2,17.2%,26.5%,25.7%,43.2%,12.5%
31,Dewayne Dedmon,ATL,30,7-0,245,Southern California,USA,Undrafted,Undrafted,Undrafted,44,5.8,5.7,0.5,-0.7,7.5%,24.1%,17.9%,47.3%,4.1%
32,Dillon Brooks,MEM,24,6-7,225,Oregon,Canada,2017,2,45,73,16.2,3.3,2.1,-0.3,3.0%,7.6%,24.7%,51.0%,10.4%
