,Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
30,BJ Johnson,ORL,24,6-7,200,La Salle,USA,Undrafted,Undrafted,Undrafted,10,3.0,1.5,0.3,-8.1,3.3%,13.6%,20.1%,41.2%,5.9%
31,Bam Adebayo,MIA,22,6-9,255,Kentucky,USA,2017,1,14,72,15.9,10.2,5.1,5.0,7.7%,22.4%,21.2%,59.8%,23.8%
32,Ben McLemore,HOU,27,6-3,195,Kansas,USA,2013,1,7,71,10.1,2.2,0.8,5.0,1.2%,7.9%,15.7%,62.2%,5.0%
33,Ben Simmons,PHI,23,6-10,240,Louisiana State,Australia,2016,1,1,57,16.4,7.8,8.0,1.7,5.4%,15.9%,20.6%,60.2%,33.5%
34,Bismack Biyombo,CHA,27,6-8,255,None,Democratic Re...,2011,1,7,53,7.4,5.8,0.9,-6.6,11.2%,17.8%,16.8%,57.0%,7.9%
35,Blake Griffin,DET,31,6-9,250,Oklahoma,USA,2009,1,1,18,15.5,4.7,3.3,-2.6,3.2%,12.8%,27.7%,47.6%,18.4%
36,Boban Marjanovic,DAL,31,7-4,290,None,Serbia,Undrafted,Undrafted,Undrafted,44,6.6,4.5,0.5,5.5,15.8%,29.8%,25.8%,61.2%,7.3%
37,Bobby Portis,NYK,25,6-10,250,Arkansas,USA,2015,1,22,66,10.1,5.1,1.5,-7.9,5.3%,18.0%,20.7%,53.0%,11.2%
38,Bogdan Bogdanovic,SAC,27,6-6,220,None,Serbia,2014,1,27,61,15.1,3.4,3.4,-1.7,1.4%,10.5%,22.1%,56.5%,18.4%
39,Bojan Bogdanovic,UTA,31,6-8,226,None,Croatia,2011,2,31,63,20.2,4.1,2.1,5.5,2.0%,10.0%,25.2%,60.3%,9.9%
40,Bol Bol,DEN,20,7-2,220,Oregon,Sudan,2019,2,44,7,5.7,2.7,0.9,-9.8,5.7%,17.1%,20.6%,61.7%,10.3%
41,Brad Wanamaker,BOS,30,6-3,210,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,71,6.9,2.0,2.5,5.0,1.6%,8.2%,15.2%,57.7%,18.1%
42,Bradley Beal,WAS,27,6-3,207,Florida,USA,2012,1,3,57,30.5,4.2,6.1,-4.5,2.4%,9.5%,33.8%,57.9%,28.5%
43,Brandon Clarke,MEM,23,6-8,215,Gonzaga,Canada,2019,1,21,58,12.1,5.9,1.4,-0.1,6.7%,17.7%,18.0%,66.3%,9.2%
44,Brandon Goodwin,ATL,24,6-0,180,Florida Gulf Coast,USA,Undrafted,Undrafted,Undrafted,34,6.1,2.1,1.5,-13.8,2.3%,13.2%,22.0%,50.7%,20.8%
45,Brandon Ingram,NOP,22,6-7,190,Duke,USA,2016,1,2,62,23.8,6.1,4.2,-1.3,2.3%,14.4%,27.5%,58.7%,19.2%
46,Brandon Knight,DET,28,6-2,182,Kentucky,USA,2011,1,8,25,7.3,1.6,2.8,-7.6,0.9%,9.3%,20.7%,50.3%,21.6%
47,Brian Bowen II,IND,21,6-6,190,None,USA,Undrafted,Undrafted,Undrafted,6,1.0,1.2,0.0,15.7,3.2%,16.2%,14.3%,30.0%,0.0%
48,Brook Lopez,MIL,32,7-0,282,Stanford,USA,2008,1,10,68,12.0,4.6,1.5,12.0,3.1%,11.8%,18.1%,55.1%,7.3%
49,Bruce Brown,DET,23,6-4,202,Miami,USA,2018,2,42,58,8.9,4.7,4.0,-4.3,3.8%,13.1%,15.9%,51.8%,20.8%
