,Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
0,OG Anunoby,TOR,22,6-7,232,Indiana,United Kingdo...,2017,1,23,69,10.6,5.3,1.6,6.2,3.8%,12.9%,14.2%,60.0%,7.4%
1,Omari Spellman,MIN,22,6-8,245,Villanova,USA,2018,1,30,49,7.6,4.5,1.0,-8.5,7.6%,15.5%,17.7%,55.1%,8.6%
2,Oshae Brissett,TOR,22,6-7,210,Syracuse,Canada,Undrafted,Undrafted,Undrafted,19,1.9,1.4,0.4,11.6,6.3%,10.9%,14.5%,45.8%,7.4%
3,Otto Porter Jr.,CHI,27,6-8,198,Georgetown,USA,2013,1,3,14,11.9,3.4,1.8,3.2,3.6%,10.8%,20.1%,55.0%,11.3%
4,P.J. Dozier,DEN,23,6-6,205,South Carolina,USA,Undrafted,Undrafted,Undrafted,29,5.8,1.9,2.2,-5.7,2.4%,10.8%,19.9%,49.5%,21.6%
5,P.J. Tucker,HOU,35,6-5,245,Texas-Austin,USA,2006,2,35,72,6.9,6.6,1.6,3.0,4.2%,13.7%,8.7%,55.9%,6.1%
6,P.J. Washington,CHA,21,6-7,230,Kentucky,USA,2019,1,12,58,12.2,5.4,2.1,-6.3,3.2%,14.5%,18.4%,54.7%,11.5%
7,Pascal Siakam,TOR,26,6-9,230,New Mexico State,Cameroon,2016,1,27,60,22.9,7.3,3.5,8.8,3.0%,16.2%,27.8%,55.4%,16.1%
8,Pat Connaughton,MIL,27,6-5,209,Notre Dame,USA,2015,2,41,67,5.4,4.2,1.6,3.5,4.4%,15.1%,11.8%,56.5%,11.5%
9,Patrick Beverley,LAC,31,6-1,180,Arkansas,USA,2009,2,42,51,7.9,5.2,3.6,10.2,4.0%,14.5%,13.1%,56.0%,18.0%
10,Patrick McCaw,TOR,24,6-7,181,UNLV,USA,2016,2,38,37,4.6,2.3,2.1,0.6,2.0%,6.8%,9.3%,50.0%,11.8%
11,Patrick Patterson,LAC,31,6-8,235,Kentucky,USA,2010,1,14,59,4.9,2.6,0.7,2.5,4.2%,13.6%,14.3%,58.0%,7.5%
12,Patty Mills,SAS,31,6-1,180,St.Mary's College of California,Australia,2009,2,55,66,11.6,1.6,1.8,4.1,1.4%,5.4%,19.3%,59.2%,11.2%
13,Paul George,LAC,30,6-8,220,Fresno State,USA,2010,1,10,48,21.5,5.7,3.9,8.7,1.7%,16.1%,29.2%,58.9%,20.5%
14,Paul Millsap,DEN,35,6-7,257,Louisiana Tech,USA,2006,2,47,51,11.6,5.7,1.6,9.3,7.9%,15.7%,19.7%,59.1%,9.3%
15,Paul Watson,TOR,25,6-6,210,Fresno State,USA,Undrafted,Undrafted,Undrafted,10,3.1,1.7,0.8,16.3,2.0%,16.3%,14.2%,51.7%,10.7%
16,Quinn Cook,LAL,27,6-1,180,Duke,USA,Undrafted,Undrafted,Undrafted,44,5.1,1.2,1.1,4.5,2.0%,7.1%,20.1%,50.9%,13.9%
17,Quinndary Weatherspoon,SAS,23,6-3,205,Mississippi State,USA,2019,2,49,11,1.1,0.6,1.0,-13.7,1.1%,7.4%,10.7%,33.6%,18.3%
18,RJ Barrett,NYK,20,6-6,214,Duke,Canada,2019,1,3,56,14.3,5.0,2.6,-9.1,2.7%,13.4%,23.4%,47.9%,12.7%
19,Rajon Rondo,LAL,34,6-1,180,Kentucky,USA,2006,1,21,48,7.1,3.0,5.0,1.4,2.2%,11.9%,18.4%,49.4%,34.0%
20,Raul Neto,PHI,28,6-1,180,None,Brazil,2013,2,47,54,5.1,1.1,1.8,2.8,1.6%,7.2%,18.1%,56.7%,21.8%
21,Rayjon Tucker,UTA,22,6-3,209,Arkansas-Little Rock,USA,Undrafted,Undrafted,Undrafted,20,3.1,1.0,0.3,-6.9,1.7%,11.3%,15.2%,58.4%,4.3%
22,Reggie Bullock,NYK,29,6-6,205,North Carolina,USA,2013,1,25,29,8.1,2.3,1.4,-5.8,1.8%,8.2%,15.3%,50.2%,8.7%
23,Reggie Jackson,LAC,30,6-3,208,Boston College,USA,2011,1,24,31,11.9,3.0,4.1,6.7,2.3%,9.4%,22.9%,52.9%,26.3%
24,Richaun Holmes,SAC,26,6-10,235,Bowling Green,USA,2015,2,37,44,12.3,8.1,1.0,1.2,10.1%,19.1%,15.6%,68.1%,5.0%
25,Ricky Rubio,PHX,29,6-3,190,None,Spain,2009,1,5,65,13.0,4.7,8.8,4.0,2.3%,12.8%,19.9%,53.5%,37.7%
26,Robert Covington,HOU,29,6-7,209,Tennessee State,USA,Undrafted,Undrafted,Undrafted,70,12.4,6.6,1.3,0.9,2.7%,18.0%,16.9%,55.9%,5.9%
27,Robert Williams III,BOS,22,6-8,237,Texas A&M,USA,2018,1,27,29,5.2,4.4,0.9,6.1,10.3%,20.9%,13.5%,72.8%,9.9%
28,Robin Lopez,MIL,32,7-0,281,Stanford,USA,2008,1,15,66,5.4,2.4,0.7,0.6,5.4%,9.2%,16.1%,55.4%,6.8%
